name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
nshm23_3_Anacapa_-_Dume_005,240.8550,33.9750,240.9800,33.9700,135.0000,0,0,0,0,0,0,0,0,0,15.0000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2571670.2099,-4611851.9593,3558326.1934,-2561753.2270,-4617723.0125,3557865.3777,11565.1235,92.7138,240.9175,33.9725,240.9175,33.9725,-2566712.7696,-4614789.3742,3558097.2516,-2566716.5904,-4614795.8280,7.5000,240.9175,33.9726,14,12,-36.2353,-15.4966,0.0000,,,
nshm23_5_Anaheim_000,242.0200,33.8060,242.0550,33.7780,109.0000,0,0,0,0,0,0,0,0,0,14.2000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2482285.2954,-4672433.5711,3542735.6234,-2480241.6408,-4675477.9159,3540149.5904,4489.0656,133.7663,242.0375,33.7920,242.0375,33.7920,-2481263.6225,-4673956.0319,3541442.8287,-2481265.6523,-4673957.3945,7.1000,242.0375,33.7920,16,15,-66.9859,14.3660,0.0000,,,
nshm23_5_Anaheim_001,241.9730,33.8430,242.0200,33.8060,109.0000,0,0,0,0,0,0,0,0,0,14.2000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2485041.7526,-4668375.2951,3546151.5836,-2482285.2954,-4672433.5711,3542735.6234,5981.1417,133.3137,241.9965,33.8245,241.9965,33.8245,-2483663.7984,-4670404.9446,3544443.9975,-2483665.8208,-4670406.3182,7.1000,241.9965,33.8245,16,15,-66.7856,103.3773,0.0000,,,
nshm23_5_Anaheim_002,241.9350,33.8780,241.9730,33.8430,109.0000,0,0,0,0,0,0,0,0,0,14.2000,0,0,0,0,0,1,2,0,0,2,0,0.0000,0,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2487117.7772,-4664813.7513,3549381.5361,-2485041.7526,-4668375.2951,3546151.5836,5237.9537,137.8203,241.9540,33.8605,241.9540,33.8605,-2486079.9757,-4666594.9153,3547766.8628,-2486082.0878,-4666596.1464,7.1000,241.9540,33.8605,16,15,-70.4434,180.4459,0.0000,,,
nshm23_6_Ash_Hill_000,242.5400,36.3940,242.5610,36.3360,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2363523.6777,-4548036.1581,3778025.1973,-2363617.6930,-4552294.0143,3772834.7525,6706.2872,163.6720,242.5505,36.3650,242.5505,36.3650,-2363571.0130,-4550165.7137,3775430.5061,-2363571.0130,-4550165.7137,6.5000,242.5505,36.3650,11,17,-0.0400,0.0000,2.8180,,,
nshm23_6_Ash_Hill_001,242.5610,36.3360,242.5730,36.3130,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,1,-0.4000,-0.2000,0,0.0000,0.0000,0,0,0,-2363617.6930,-4552294.0143,3772834.7525,-2363361.6327,-4554132.8618,3770775.4019,2770.3320,157.1074,242.5670,36.3245,242.5670,36.3245,-2363489.7188,-4553213.5452,3771805.1677,-2363489.7188,-4553213.5452,6.5000,242.5670,36.3245,11,17,-0.3999,0.0000,3.2487,,,
nshm23_6_Ash_Hill_002,242.5730,36.3130,242.5800,36.2830,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2363361.6327,-4554132.8618,3770775.4019,-2363714.1168,-4556173.5044,3768088.3792,3387.7954,169.3020,242.5765,36.2980,242.5765,36.2980,-2363537.9582,-4555153.3435,3769432.0260,-2363537.9582,-4555153.3435,6.5000,242.5765,36.2980,11,17,0.3228,0.0000,3.5532,,,
nshm23_6_Ash_Hill_003,242.5800,36.2830,242.5810,36.2540,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2363714.1168,-4556173.5044,3768088.3792,-2364512.5483,-4557907.1257,3765489.9420,3219.2099,178.4002,242.5805,36.2685,242.5805,36.2685,-2364113.4078,-4557040.4600,3766789.2829,-2364113.4078,-4557040.4600,6.5000,242.5805,36.2685,11,17,0.9060,0.0000,3.7734,,,
nshm23_6_Ash_Hill_004,242.5810,36.2540,242.5940,36.2290,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2364512.5483,-4557907.1257,3765489.9420,-2364234.3694,-4559901.6712,3763249.1357,3010.1584,157.1536,242.5875,36.2415,242.5875,36.2415,-2364373.5250,-4558904.5250,3764369.6454,-2364373.5250,-4558904.5250,6.5000,242.5875,36.2415,11,17,-0.5797,0.0000,4.1345,,,
nshm23_6_Ash_Hill_005,242.5940,36.2290,242.6200,36.1650,90.0000,0,0,0,0,0,0,0,0,0,13.0000,0,0,0,0,0,1,2,0,0,0,0,0.0000,2,0,0,0,0,0,-1,0,0,0,0,0.0000,0.0000,0,0.0000,0.0000,0,0,0,-2364234.3694,-4559901.6712,3763249.1357,-2364096.6225,-4564703.8976,3757509.4076,7476.6993,161.7667,242.6070,36.1970,242.6070,36.1970,-2364165.9035,-4562303.5663,3760379.9291,-2364165.9035,-4562303.5663,6.5000,242.6070,36.1970,11,17,-0.2352,0.0000,4.6717,,,
