lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,strike_slip_rate,dip_slip_rate
138.126,33.7315,0.0,137.994,33.7873,-2.3738344,138.019,33.6431,0.0,-23.822505842911823,34.5844796893514
134.208,32.3226,-7.4391988,134.264,32.199,-3.7167563,134.41,32.3537,-5.4086896,25.774217951839635,43.256086495289324
134.208,32.3226,-7.4391988,134.41,32.3537,-5.4086896,134.199,32.4545,-10.0,28.01027370540993,47.83009906873848
134.199,32.4545,-10.0,134.084,32.3596,-10.0,134.208,32.3226,-7.4391988,27.397012717000848,47.44234849213788
134.847,32.5963,-2.7409163,134.767,32.6697,-4.4228778,134.748,32.5453,-3.6769105,-6.143810126277776,27.312821870690286
134.476,32.6962,-8.1886388,134.629,32.6546,-6.0674101,134.572,32.7916,-7.9957555,15.539701996334163,47.76723278308708
134.748,32.5453,-3.6769105,134.767,32.6697,-4.4228778,134.629,32.6546,-6.0674101,1.5281647674926688,35.54633659645168
134.458,32.5694,-7.3571455,134.629,32.6546,-6.0674101,134.476,32.6962,-8.1886388,20.37522354343531,47.90243796764468
135.919,32.8188,-3.0658399,135.762,32.6553,0.0,135.92,32.6848,0.0,1.9766556422338768,-3.5759415695656847
137.224,33.5079,-5.9128862,137.142,33.6013,-7.9712047,137.062,33.475,-6.7451185,-22.95173976545047,41.25764842683515
137.899,33.5512,0.0,138.019,33.6431,0.0,137.828,33.6957,-2.7309865,-22.41991737119887,32.54403246228061
132.408,31.2235,-10.0,132.603,31.2565,-7.2004582,132.486,31.342,-10.0,23.84622497879974,-18.069483398654125
132.603,31.2565,-7.2004582,132.408,31.2235,-10.0,132.521,31.1453,-7.043649,23.829798008290496,-18.56657558059354
136.433,33.172,-7.2518423,136.468,33.3142,-10.0,136.317,33.264,-10.0,-23.83538725419335,29.39560624356273
137.224,33.5079,-5.9128862,137.302,33.601,-6.626824,137.142,33.6013,-7.9712047,-27.27550595209776,45.0776357741655
133.426,31.6852,-2.3588247,133.372,31.5611,0.0,133.495,31.6214,0.0,29.999987040394007,43.65937110315956
137.488,33.7704,-7.2298294,137.463,33.5829,-4.9474332,137.612,33.6346,-4.0220501,-28.125124802748815,47.48185433331175
137.202,33.1595,0.0,137.074,33.1897,-1.77536,137.106,33.0662,0.0,-16.56317613067826,49.16360520676099
137.074,33.1897,-1.77536,136.991,33.1493,-1.9826412,137.106,33.0662,0.0,-15.09387470985042,49.08042103882259
137.039,33.2743,-3.9489243,136.931,33.3439,-6.1836091,136.878,33.2332,-4.4903772,-10.253103696741316,39.0357253202117
136.931,33.3439,-6.1836091,136.754,33.3139,-7.3437822,136.878,33.2332,-4.4903772,-8.036680867328894,33.6705145631746
133.96,32.2734,-10.0,133.982,32.136,-6.5575368,134.117,32.2049,-5.8910232,21.81443899039408,31.77979439559611
134.037,31.9116,0.0,134.092,32.0476,-2.749328,133.949,31.9922,-3.3149433,26.58819224035893,12.18739774537148
134.092,32.0476,-2.749328,134.037,31.9116,0.0,134.173,31.9849,0.0,26.78571346225134,13.874466986602146
132.427,30.8871,-6.6552934,132.541,30.7726,-3.5179775,132.636,30.9176,-2.7724891,26.645833764810813,-19.56046181684971
132.636,30.9176,-2.7724891,132.61,31.0557,-4.4818304,132.48,31.02,-6.7180443,27.935413714216516,-19.470120041524613
132.48,31.02,-6.7180443,132.427,30.8871,-6.6552934,132.636,30.9176,-2.7724891,26.456539279473105,-19.158614512909402
132.71,31.0298,-2.3233299,132.636,30.9176,-2.7724891,132.776,30.9131,0.0,29.999979317065716,-19.406770197548884
132.61,31.0557,-4.4818304,132.636,30.9176,-2.7724891,132.71,31.0298,-2.3233299,29.069768006776645,-19.77703346633735
134.848,32.3208,0.0,134.964,32.414,0.0,134.883,32.4746,-1.4920618,-8.328897332439237,11.426913360901057
134.728,32.3912,-2.1533578,134.848,32.3208,0.0,134.883,32.4746,-1.4920618,-3.2535916236279823,19.057671737761844
132.294,30.969,-10.0,132.242,30.84,-10.0,132.427,30.8871,-6.6552934,14.442620572333816,-18.682477875504365
137.463,33.5829,-4.9474332,137.615,33.4789,-2.2460146,137.612,33.6346,-4.0220501,-26.66847944112594,42.22924907658111
136.991,33.1493,-1.9826412,137.074,33.1897,-1.77536,137.039,33.2743,-3.9489243,-13.695335797097894,46.35496964047235
136.433,33.172,-7.2518423,136.317,33.0998,-6.9058519,136.418,33.0346,-4.734129,-29.666773307029445,36.35272045562626
135.92,32.6848,0.0,136.075,32.7229,0.0,135.919,32.8188,-3.0658399,-1.5803316447663223,4.939075036096817
138.348,34.1892,-5.1213102,138.215,34.2842,-10.0,138.104,34.1842,-10.0,-19.270449606583348,45.51944909443922
138.482,34.0911,0.0,138.503,34.2264,0.0,138.348,34.1892,-5.1213102,-10.719923159012133,39.883169775267596
136.617,32.9642,-1.8515813,136.746,33.0426,-2.2961115,136.601,33.0906,-4.4967302,-23.27600483291512,45.714737062290055
136.738,33.1893,-4.9184762,136.587,33.2448,-7.3703064,136.601,33.0906,-4.4967302,-17.46423340924581,35.68717781868579
137.448,33.4041,-2.4907718,137.493,33.2771,0.0,137.637,33.3413,0.0,-24.627776755284508,39.6428704066177
137.448,33.4041,-2.4907718,137.637,33.3413,0.0,137.615,33.4789,-2.2460146,-25.059282837582536,38.131869567226296
137.615,33.4789,-2.2460146,137.463,33.5829,-4.9474332,137.448,33.4041,-2.4907718,-26.964776746824235,42.20546784519344
137.488,33.7704,-7.2298294,137.536,33.9253,-10.0,137.383,33.8785,-10.0,-27.60432685287911,48.23687242955452
134.288,32.0743,0.0,134.196,32.1115,-2.3687463,134.173,31.9849,0.0,25.22805936547704,22.49414494290021
134.196,32.1115,-2.3687463,134.264,32.199,-3.7167563,134.117,32.2049,-5.8910232,25.00748381948884,32.31029590528524
133.55,32.0635,-10.0,133.493,31.9041,-6.7257668,133.647,31.945,-5.9791631,15.72627898841447,32.87912975996457
133.647,31.945,-5.9791631,133.493,31.9041,-6.7257668,133.66,31.8223,-2.7734885,22.06771744559333,29.286189010046904
133.55,32.0635,-10.0,133.408,32.0,-10.0,133.493,31.9041,-6.7257668,13.018061767419518,39.825200301843815
135.098,32.9817,-10.0,135.11,32.8964,-7.4496623,135.258,32.9649,-10.0,-29.95312247765971,12.400536843167387
138.018,33.9437,-5.8113889,137.994,33.7873,-2.3738344,138.172,33.8778,-2.361536,-27.159151768163074,42.06371326803087
138.172,33.8778,-2.361536,138.323,33.8578,0.0,138.306,33.951,-2.0562268,-23.937468611075328,38.981215420381204
138.196,33.9813,-4.399173,138.172,33.8778,-2.361536,138.306,33.951,-2.0562268,-25.240876383195587,41.65894068717873
135.578,32.9932,-10.0,135.737,32.9009,-6.2419356,135.735,33.0264,-10.0,-7.095314288412412,14.126434577585021
134.572,32.7916,-7.9957555,134.732,32.7867,-5.9231571,134.66,32.9281,-8.3832364,1.7480751055529105,46.27212051169614
134.767,32.6697,-4.4228778,134.732,32.7867,-5.9231571,134.629,32.6546,-6.0674101,0.7112720002766437,38.8949318386345
134.732,32.7867,-5.9231571,134.572,32.7916,-7.9957555,134.629,32.6546,-6.0674101,6.535674727334452,44.65751557097518
134.66,32.9281,-8.3832364,134.732,32.7867,-5.9231571,134.827,32.923,-7.3268474,-7.878110859141901,42.37932759194722
136.3,32.9307,-3.6184138,136.224,32.7769,0.0,136.382,32.8023,0.0,-21.384185399991914,32.164101878261704
136.467,32.9296,-2.3557651,136.3,32.9307,-3.6184138,136.382,32.8023,0.0,-26.062800925503893,38.20577805810971
136.418,33.0346,-4.734129,136.3,32.9307,-3.6184138,136.467,32.9296,-2.3557651,-28.88406714757375,39.68953783880787
135.126,32.6839,-1.8078754,135.146,32.5921,0.0,135.283,32.6105,0.0,-25.336461588690074,-13.981290819021229
135.126,32.6839,-1.8078754,135.033,32.731,-2.9881084,135.042,32.6511,-1.6497646,-28.933031003925493,-2.6678869864332526
134.709,32.2522,0.0,134.596,32.3207,-2.4776283,134.561,32.1984,0.0,12.167968224387685,31.118248490151807
134.709,32.2522,0.0,134.728,32.3912,-2.1533578,134.596,32.3207,-2.4776283,8.131763445383676,30.01996940974054
134.728,32.3912,-2.1533578,134.598,32.4656,-4.521741,134.596,32.3207,-2.4776283,10.191157301401816,35.188219021499954
137.074,33.1897,-1.77536,137.214,33.2611,-2.1518443,137.039,33.2743,-3.9489243,-15.960712747693679,46.509158608313754
137.202,33.1595,0.0,137.349,33.2139,0.0,137.214,33.2611,-2.1518443,-20.0676428130917,47.30950267902851
137.214,33.2611,-2.1518443,137.074,33.1897,-1.77536,137.202,33.1595,0.0,-17.568883880341637,48.012471180562414
138.499,34.3099,0.0,138.55,34.41,0.0,138.406,34.3354,-4.9582094,-3.3744778419619363,33.839045715832654
138.503,34.2264,0.0,138.499,34.3099,0.0,138.406,34.3354,-4.9582094,-5.3060479429051135,36.56538076001038
133.836,32.1868,-10.0,133.982,32.136,-6.5575368,133.96,32.2734,-10.0,17.861686013074564,30.21613318717891
134.196,32.1115,-2.3687463,134.117,32.2049,-5.8910232,134.092,32.0476,-2.749328,24.988599357382952,25.912621489225653
133.982,32.136,-6.5575368,134.092,32.0476,-2.749328,134.117,32.2049,-5.8910232,24.01942656452972,24.86057284989026
134.173,31.9849,0.0,134.196,32.1115,-2.3687463,134.092,32.0476,-2.749328,25.756399935169235,19.896984887523992
134.092,32.0476,-2.749328,133.982,32.136,-6.5575368,133.949,31.9922,-3.3149433,24.469421619164464,17.005130233532434
133.629,31.696,0.0,133.768,31.7644,0.0,133.66,31.8223,-2.7734885,29.401310720330176,23.535712439228167
134.66,32.9281,-8.3832364,134.785,33.0439,-10.0,134.627,33.022,-10.0,-10.133041239530092,46.00925130980798
132.836,31.7612,-10.0,132.984,31.6535,-6.8058928,132.986,31.8078,-10.0,29.502105517819523,20.86110265521152
132.984,31.6535,-6.8058928,132.836,31.7612,-10.0,132.876,31.6201,-7.1720434,28.923095867109115,12.217393977913181
134.748,32.5453,-3.6769105,134.728,32.3912,-2.1533578,134.883,32.4746,-1.4920618,-3.0124049708971112,23.663123999456957
134.728,32.3912,-2.1533578,134.748,32.5453,-3.6769105,134.598,32.4656,-4.521741,5.563910052854232,33.045427522163195
136.317,33.264,-10.0,136.317,33.0998,-6.9058519,136.433,33.172,-7.2518423,-28.63606225021801,33.156246297063035
136.317,33.0998,-6.9058519,136.317,33.264,-10.0,136.17,33.2075,-10.0,-29.99993337842298,34.03611122410835
134.901,32.6858,-3.0367079,134.767,32.6697,-4.4228778,134.847,32.5963,-2.7409163,-12.544261713073618,23.233712345561308
132.984,31.5299,-4.9496297,132.849,31.519,-6.4555701,132.941,31.4353,-4.6884757,24.269595509054867,2.988637468506477
132.876,31.6201,-7.1720434,132.849,31.519,-6.4555701,132.984,31.5299,-4.9496297,25.66106916023743,4.3404099116694645
136.738,33.1893,-4.9184762,136.746,33.0426,-2.2961115,136.873,33.0946,-2.3962722,-16.06646400424529,44.6916144254424
136.601,33.0906,-4.4967302,136.746,33.0426,-2.2961115,136.738,33.1893,-4.9184762,-18.895338803608567,42.29997728674056
136.606,33.385,-10.0,136.754,33.3139,-7.3437822,136.723,33.4797,-10.0,-5.591696441646702,22.137406691453183
136.587,33.2448,-7.3703064,136.754,33.3139,-7.3437822,136.606,33.385,-10.0,-9.50797272542249,25.32649664559109
136.468,33.3142,-10.0,136.587,33.2448,-7.3703064,136.606,33.385,-10.0,-13.166742335194709,24.587866569701617
133.372,31.5611,0.0,133.231,31.5642,-2.3806239,133.262,31.3855,0.0,29.605170193129666,37.02080510453877
133.231,31.5642,-2.3806239,133.12,31.5311,-3.4678016,133.262,31.3855,0.0,28.45218928451176,32.604914423273414
137.488,33.7704,-7.2298294,137.342,33.7108,-7.7136038,137.463,33.5829,-4.9474332,-29.58595428752884,49.38455834347544
137.342,33.7108,-7.7136038,137.302,33.601,-6.626824,137.463,33.5829,-4.9474332,-29.999950138393757,48.81055909554771
135.033,32.731,-2.9881084,135.103,32.7916,-4.259496,134.979,32.862,-5.8456225,-29.343753019588988,8.525290802059487
135.243,32.7969,-4.8063521,135.103,32.7916,-4.259496,135.126,32.6839,-1.8078754,-29.43839880101213,-5.5825133391118085
135.103,32.7916,-4.259496,135.033,32.731,-2.9881084,135.126,32.6839,-1.8078754,-29.92734527215078,-1.4373043135294505
132.468,30.6666,-4.3067777,132.375,30.7439,-6.6960409,132.305,30.6535,-7.7626243,13.96948677345406,-19.963597231315557
138.348,34.1892,-5.1213102,138.294,34.0715,-4.2322773,138.482,34.0911,0.0,-15.487872717734561,42.25859797238364
138.196,33.9813,-4.399173,138.294,34.0715,-4.2322773,138.131,34.0594,-7.0353233,-24.948699434842773,46.111586817452334
137.302,33.601,-6.626824,137.348,33.505,-4.9084762,137.463,33.5829,-4.9474332,-29.308860754362847,47.851542649058366
137.348,33.505,-4.9084762,137.448,33.4041,-2.4907718,137.463,33.5829,-4.9474332,-28.114565279815366,45.609304744801506
135.686,32.7807,-3.4213926,135.762,32.6553,0.0,135.919,32.8188,-3.0658399,2.7648142135289913,-6.691509430098952
135.737,32.9009,-6.2419356,135.686,32.7807,-3.4213926,135.919,32.8188,-3.0658399,1.1888172007037596,-0.1401257015600157
135.076,32.6074,-0.76372154,135.146,32.5921,0.0,135.126,32.6839,-1.8078754,-27.003684703231315,-9.557496012025442
135.042,32.6511,-1.6497646,135.076,32.6074,-0.76372154,135.126,32.6839,-1.8078754,-27.8983128109224,-6.076668751825527
135.146,32.5921,0.0,135.076,32.6074,-0.76372154,134.977,32.4831,0.0,-23.41846389440461,-5.684540987285983
136.079,32.947,-5.6157998,136.031,33.1379,-10.0,135.884,33.0796,-10.0,-19.58912731120198,31.534889005874852
135.885,32.9483,-6.9823595,136.079,32.947,-5.6157998,135.884,33.0796,-10.0,-12.817755663120945,24.988206239573795
133.511,31.7749,-3.3820899,133.327,31.7956,-5.9949117,133.426,31.6852,-2.3588247,26.5997793459933,47.05665653888108
133.299,31.6817,-3.6790435,133.426,31.6852,-2.3588247,133.327,31.7956,-5.9949117,27.159630673920205,49.99997762427079
133.157,31.7031,-6.0866875,133.299,31.6817,-3.6790435,133.327,31.7956,-5.9949117,26.810171277997952,49.999728509695636
132.547,30.5506,-2.1531674,132.639,30.5225,0.0,132.666,30.6572,0.0,19.809471102395975,-19.527938962390976
